Sample 1: B, posterior probability of 0.9872
Sample 2: B, posterior probability of 0.9987
Sample 3: B, posterior probability of 0.9997
Sample 4: A, posterior probability of 0.9827
Sample 5: B, posterior probability of 0.6305
Sample 6: A, posterior probability of 0.9827
Sample 7: A, posterior probability of 0.9918
Sample 8: B, posterior probability of 0.9940
Sample 9: B, posterior probability of 0.9972
Sample 10: B, posterior probability of 0.9997
Sample 11: B, posterior probability of 0.9730
Sample 12: B, posterior probability of 0.9438
Sample 13: B, posterior probability of 0.9972
Sample 14: B, posterior probability of 0.9987
Sample 15: A, posterior probability of 0.9251
Sample 16: B, posterior probability of 0.9438
Sample 17: A, posterior probability of 0.9992
Sample 18: B, posterior probability of 0.9438
Sample 19: B, posterior probability of 0.9997
Sample 20: A, posterior probability of 0.9962
